id,group_id,group_is_high_risk,group_size,group_black_ratio,group_grey_ratio,group_risk_mean,group_risk_max,acct_id,acct_label_raw,acct_risk_level,acct_risk_level_name,acct_risk_score,acct_is_black,acct_is_grey,acct_is_core,role,txn_out_cnt,txn_in_cnt,txn_out_sum,txn_in_sum,txn_net_out_amt,txn_out_in_ratio,graph_pr,graph_in_deg,graph_out_deg,graph_weighted_out_deg
35895,1472,False,3.0,0.0,0.0,0.087941592429845,0.1385039573931199,4762e880d5f3b85b9588fa15cc9b8548ca99e3c961aa74b8504348e420af5490,无关,0,safe,0.1385039573931199,False,False,False,normal,0.0,2.0,0.0,6200.0,-6200.0,0.0001612643122077,0.0001473527129324,2,0,0.0
35906,1304,False,2.0,0.0,0.0,0.2764100319727123,0.2887210992600001,6f7c1fc228b37ead0965af1a99bc7514f5c71460ef2f9e5fffc376a2a4101fbd,无关,0,safe,0.2640989646854244,False,False,False,normal,147.0,16.0,287869.36,182661.88,105207.47999999998,1.5759652973828069,0.000360446027931,1,1,256201.74
35910,1478,False,2.0,0.0,0.0,0.3475034192886683,0.4217224871646803,80cf1fdab49cd20865d6ad1b75c994097aa4641540384aa6b6f3f6550ca17a27,无关,0,safe,0.4217224871646803,False,False,False,normal,287.0,112.0,726316.27,564039.63,162276.64,1.287703813110059,0.000360446027931,1,1,40.0
35912,1753,False,2.0,0.0,0.0,0.0892850615887619,0.1175503836388074,a28231c11bef2161378e1b7a20db5044578246236dd5c00543c218cd44cd34d2,无关,0,safe,0.0610197395387163,False,False,False,normal,1.0,0.0,5200.0,0.0,5200.0,5201.0,5.4525316681734015e-05,0,1,10400.0
35913,1486,False,1.0,0.0,0.0,0.1828243177670746,0.1828243177670746,81c95d0a5d2840e627a59643a4e3eaf5caeb6e4aa30a38e57530d338cff3ff0e,无关,0,safe,0.1828243177670746,False,False,False,normal,7.0,27.0,101466.56,63996.0,37470.56,1.5855049455443224,0.000360446027931,1,1,148.76
35934,93,False,2.0,0.0,0.0,0.2015679616890406,0.265286054529769,062a2b2d0af9ea8f058e9926e86310caef9d3871958f5746c94fdd6c187c98e6,无关,0,safe,0.265286054529769,False,False,False,normal,33.0,28.0,582236.33,138394.71,443841.62,4.207047530591808,0.000360446027931,1,1,20300.0
35940,1390,False,2.0,0.0,0.0,0.2929456536819079,0.3285968320039121,77b475b8b55bb1d0f18fc1816dd441ef2e8523e8e71294e0f03d62adc80add44,无关,0,safe,0.2572944753599038,False,False,False,normal,3.0,0.0,2000.0,0.0,2000.0,2001.0,5.4525316681734015e-05,0,1,1000.0
35977,1213,False,3.0,0.0,0.0,0.3541990076626555,0.4797435523057015,63c5a40de0b137448bda4cda8dd37ea27387d68ac86ae01fd2412b9b00c005e4,无关,0,safe,0.4797435523057015,False,False,False,normal,208.0,44.0,317067.84,283306.91,33760.93000000005,1.119166916306714,0.0005150902812862,2,1,44000.0
35988,2113,False,2.0,0.0,0.0,0.3723710801027881,0.5078432416429284,79eb9717d0b597ff527e514493eb8a9e46a2fd3ff158623b17d37fd82691379f,无关,0,safe,0.2368989185626477,False,False,False,normal,3.0,18.0,600.0,32821.0,-32221.0,0.0183108890378404,0.0001009390148071,1,0,0.0
36015,2098,False,3.0,0.0,0.0,0.3777564132679689,0.5105028439150953,e03615d672766f107d79a30691456c9ab888c44b4b0b0168f749655ce09fbfc5,无关,0,safe,0.2090411752936489,False,False,False,normal,30.0,2.0,1000.83,10145.0,-9144.17,0.0987413759116893,0.0001473527129324,2,0,0.0
